enter syscall:12 (RDI: 0, RSI: 140214656417324, RDX: 79, R10: 140214656417324, R8: 140214656450168, R9: 26)
exit syscall:12 (RDI: 0, RSI: 140214656417324, RDX: 79, R10: 140214656417324, R8: 140214656450168, R9: 26) = 94420937687040
enter syscall:158 (RDI: 12289, RSI: 140736929875440, RDX: 140214656377536, R10: 13, R8: 3, R9: 139)
exit syscall:158 (RDI: 12289, RSI: 140736929875440, RDX: 140214656377536, R10: 13, R8: 3, R9: 139) = -22
enter syscall:21 (RDI: 140214656428512, RSI: 4, RDX: 140214656262768, R10: 8, R8: 0, R9: 0)
exit syscall:21 (RDI: 140214656428512, RSI: 4, RDX: 140214656262768, R10: 8, R8: 0, R9: 0) = -2
enter syscall:257 (RDI: 4294967196, RSI: 140214656416640, RDX: 524288, R10: 0, R8: 524288, R9: 140214656416640)
exit syscall:257 (RDI: 4294967196, RSI: 140214656416640, RDX: 524288, R10: 0, R8: 524288, R9: 140214656416640) = 3
enter syscall:5 (RDI: 3, RSI: 140736929871856, RDX: 140736929871856, R10: 0, R8: 1, R9: 140214656416640)
exit syscall:5 (RDI: 3, RSI: 140736929871856, RDX: 140736929871856, R10: 0, R8: 1, R9: 140214656416640) = 0
enter syscall:9 (RDI: 0, RSI: 74232, RDX: 1, R10: 2, R8: 3, R9: 0)
exit syscall:9 (RDI: 0, RSI: 74232, RDX: 1, R10: 2, R8: 3, R9: 0) = 140214656184320
enter syscall:3 (RDI: 3, RSI: 74232, RDX: 1, R10: 2, R8: 3, R9: 0)
exit syscall:3 (RDI: 3, RSI: 74232, RDX: 1, R10: 2, R8: 3, R9: 0) = 0
enter syscall:257 (RDI: 4294967196, RSI: 140214656458256, RDX: 524288, R10: 0, R8: 524288, R9: 140214656458256)
exit syscall:257 (RDI: 4294967196, RSI: 140214656458256, RDX: 524288, R10: 0, R8: 524288, R9: 140214656458256) = 3
enter syscall:0 (RDI: 3, RSI: 140736929872280, RDX: 832, R10: 0, R8: 524288, R9: 140214656458256)
exit syscall:0 (RDI: 3, RSI: 140736929872280, RDX: 832, R10: 0, R8: 524288, R9: 140214656458256) = 832
enter syscall:17 (RDI: 3, RSI: 140736929871280, RDX: 784, R10: 64, R8: 140736929871280, R9: 140214656458256)
exit syscall:17 (RDI: 3, RSI: 140736929871280, RDX: 784, R10: 64, R8: 140736929871280, R9: 140214656458256) = 784
enter syscall:17 (RDI: 3, RSI: 140736929871232, RDX: 32, R10: 848, R8: 140736929871280, R9: 0)
exit syscall:17 (RDI: 3, RSI: 140736929871232, RDX: 32, R10: 848, R8: 140736929871280, R9: 0) = 32
enter syscall:17 (RDI: 3, RSI: 140736929871152, RDX: 68, R10: 880, R8: 140736929871280, R9: 0)
exit syscall:17 (RDI: 3, RSI: 140736929871152, RDX: 68, R10: 880, R8: 140736929871280, R9: 0) = 68
enter syscall:5 (RDI: 3, RSI: 140736929871936, RDX: 140736929871936, R10: 880, R8: 1, R9: 140214656455056)
exit syscall:5 (RDI: 3, RSI: 140736929871936, RDX: 140736929871936, R10: 880, R8: 1, R9: 140214656455056) = 0
enter syscall:9 (RDI: 0, RSI: 8192, RDX: 3, R10: 34, R8: 4294967295, R9: 0)
exit syscall:9 (RDI: 0, RSI: 8192, RDX: 3, R10: 34, R8: 4294967295, R9: 0) = 140214656176128
enter syscall:17 (RDI: 3, RSI: 140736929870992, RDX: 784, R10: 64, R8: 65535, R9: 140214656177280)
exit syscall:17 (RDI: 3, RSI: 140736929870992, RDX: 784, R10: 64, R8: 65535, R9: 140214656177280) = 784
enter syscall:17 (RDI: 3, RSI: 140736929870192, RDX: 32, R10: 848, R8: 3, R9: 848)
exit syscall:17 (RDI: 3, RSI: 140736929870192, RDX: 32, R10: 848, R8: 3, R9: 848) = 32
enter syscall:17 (RDI: 3, RSI: 140736929870160, RDX: 68, R10: 880, R8: 3, R9: 880)
exit syscall:17 (RDI: 3, RSI: 140736929870160, RDX: 68, R10: 880, R8: 3, R9: 880) = 68
enter syscall:9 (RDI: 0, RSI: 2037344, RDX: 1, R10: 2050, R8: 3, R9: 0)
exit syscall:9 (RDI: 0, RSI: 2037344, RDX: 1, R10: 2050, R8: 3, R9: 0) = 140214654136320
enter syscall:9 (RDI: 140214654275584, RSI: 1540096, RDX: 5, R10: 2066, R8: 3, R9: 139264)
